source,target
1400050,1400282
1400050,1400308
1400100,1400159
1400100,1400175
1400100,1400308
1400100,1400407
1400100,1400456
1400159,1400175
1400159,1400209
1400159,1400407
1400175,1400209
1400175,1400282
1400175,1400308
1400209,1400233
1400209,1400282
1400209,1400472
1400209,1400506
1400209,1400605
1400233,1400506
1400233,1505304
1400282,1400308
1400407,1400456
1400407,1400704
1400456,1400704
1400472,1400506
1400472,1400605
1400506,1400605
1500107,1501303
1500107,1503309
1500107,1504703
1500107,1504901
1500107,1505700
1500131,1501576
1500131,1506187
1500131,2111532
1500131,2112852
1500206,1501303
1500206,1501402
1500206,1501501
1500206,1501907
1500206,1502756
1500206,1504422
1500206,1504703
1500206,1507953
1500206,1508001
1500305,1500701
1500305,1501808
1500305,1502509
1500305,1503101
1500305,1600253
1500305,1600303
1500305,1600402
1500305,1600600
1500347,1501253
1500347,1502152
1500347,1502772
1500347,1505437
1500347,1505536
1500347,1506161
1500347,1507755
1500347,1508407
1500404,1500503
1500404,1502855
1500404,1504802
1500404,1505106
1500404,1506807
1500503,1503101
1500503,1504802
1500503,1505106
1500503,1505908
1500503,1506005
1500503,1600279
1500503,1600808
1500602,1501725
1500602,1503606
1500602,1505031
1500602,1505650
1500602,1506195
1500602,1507300
1500602,1507805
1500602,1508050
1500602,1508159
1500602,1508357
1500602,5104104
1500602,5105606
1500602,5106422
1500701,1501808
1500701,1502509
1500701,1504901
1500701,1505700
1500701,1506401
1500701,1507706
1500800,1501402
1500800,1501501
1500800,1504422
1500800,1506351
1500859,1505064
1500859,1505486
1500859,1505809
1500859,1507300
1500859,1507805
1500859,1508357
1500909,1501709
1500909,1508308
1500958,1502301
1500958,1503457
1500958,1504059
1500958,1507201
1500958,1508001
1501006,1501451
1501006,1503606
1501006,1503903
1501006,1506195
1501006,1506807
1501105,1501204
1501105,1501808
1501105,1502806
1501105,1504505
1501105,1505205
1501105,1505809
1501204,1501782
1501204,1504604
1501204,1504703
1501204,1505205
1501204,1505486
1501204,1505809
