origem,destino
2204709,2205599
2204709,2206902
2204709,2207009
2204709,2209856
2204709,2210201
2204709,2211308
2204808,2207009
2204808,2208007
2204808,2209351
2204808,2209955
2204808,2210201
2204907,2205003
2204907,2207777
2204907,2209104
2204907,2210805
2204907,2211506
2205003,2205201
2205003,2207777
2205003,2209104
2205003,2211506
2205102,2205300
2205102,2207850
2205102,2209005
2205102,2210102
2205151,2207777
2205151,2207801
2205151,2209658
2205201,2206050
2205201,2207777
2205250,2207751
2205250,2208809
2205250,2209450
2205250,2209807
2205276,2206357
2205276,2210656
2205300,2205607
2205300,2206001
2205359,2208874
2205359,2210003
2205359,2210607
2205409,2205805
2205409,2206670
2205409,2206696
2205409,2210052
2205458,2205805
2205458,2205854
2205508,2205557
2205508,2211001
2205508,2211100
2205516,2206357
2205516,2210656
2205524,2207603
2205532,2209559
2205532,2210953
2205540,2206308
2205540,2207108
2205540,2210508
2205557,2206209
2205557,2211100
2205565,2208650
2205565,2209658
2205573,2207900
2205573,2208403
2205581,2206407
2205581,2211001
2205599,2208106
2205599,2209856
2205599,2211308
2205607,2206001
2205607,2208551
2205607,2210631
2205706,2207702
2205805,2205854
2205805,2206100
2205805,2206670
2205805,2209971
2205854,2206100
2205904,2210631
2205904,2211209
2205953,2207207
2205953,2210706
2206001,2208551
2206050,2207777
2206050,2210706
2206100,2209971
2206209,2206803
2206209,2208502
2206209,2211100
2206308,2206407
2206308,2207108
2206308,2210508
2206357,2207900
2206357,2210656
2206407,2207108
2206407,2207751
2206407,2211001
2206506,2208106
2206506,2208205
2206605,2208700
2206605,2208858
2206654,2208700
2206670,2209971
2206704,2207009
2206704,2209708
2206704,2210102
2206720,2207504
2206720,2211001
2206803,2208502
2206902,2207009
2206902,2211308
2206951,2209906
2206951,2210656
2207009,2209104
2207009,2209377
2207009,2209708
2207009,2209955
2207009,2210979
2207009,2211407
2207009,2211704
2207108,2207751
2207207,2210706
2207207,2211605
2207306,2207934
2207306,2210391
2207306,2210805
2207306,2210904
2207355,2208874
2207355,2209005
2207405,2209302
2207405,2211209
2207504,2210508
2207504,2211001
2207553,2208007
2207553,2209104
2207553,2209955
2207603,2208858
2207603,2210623
2207751,2210383
2207777,2211506
2207793,2211001
2207801,2208650
2207801,2209658
2207850,2209005
2207900,2208403
2207934,2207959
2207934,2210003
2207934,2210805
2207934,2210904
2207959,2210003
2207959,2210805
2208007,2209351
2208007,2210938
2208106,2208205
2208106,2209401
2208106,2209856
2208106,2210375
2208106,2210409
2208106,2211308
2208205,2210300
2208304,2209872
2208304,2210052
2208601,2209153
2208601,2209609
2208601,2210383
2208601,2210409
2208650,2209658
2208700,2208858
2208858,2209757
2208874,2210003
2208874,2210102
2208874,2210904
2208908,2209203
2208908,2211209
2209104,2209955
2209104,2211704
2209153,2209609
2209153,2210409
2209351,2210201
2209351,2210938
2209377,2210979
2209401,2210375
2209401,2210938
2209450,2209807
2209500,2210391
2209500,2210805
2209500,2211704
2209559,2210607
2209609,2210383
2209708,2210102
2209807,2210508
2209856,2210201
2209856,2210375
2209906,2210409
2210003,2210904
2210102,2210391
2210102,2210904
2210201,2210938
2210300,2211605
2210359,2210607
2210391,2210805
2210391,2210904
2210607,2211357
2210631,2211209
2210979,2211407
2211001,2211100
